id,query,expected_type,actual_type,routing_correct,retrieval_correct,rouge_l,cosine_sim,no_hallucination,confidence,sources_used,answer_preview,routing_reasoning
F1,What does the EU AI Act define as a high-risk AI system?,FACTUAL,FACTUAL,True,True,0.4123,0.7214,,0.5831,eu_ai_act_consolidated,"The EU AI Act defines high-risk AI systems as those used in critical infrastructure, education, employment, essential services, law enforcement...","Top retrieval score 0.583 >= factual threshold 0.45. Best chunk from: 'eu_ai_act_consolidated'."
F2,What are the transparency obligations under the EU AI Act?,FACTUAL,FACTUAL,True,True,0.3897,0.6943,,0.5612,eu_ai_act_consolidated,"The EU AI Act requires providers to inform users when they are interacting with an AI system. Transparency obligations include clear labelling...","Top retrieval score 0.561 >= factual threshold 0.45. Best chunk from: 'eu_ai_act_consolidated'."
F3,What is the role of national competent authorities under the EU AI Act?,FACTUAL,FACTUAL,True,True,0.3512,0.6481,,0.5274,eu_ai_act_consolidated,"National competent authorities are responsible for supervising and enforcing the EU AI Act at the member-state level. They conduct conformity...","Top retrieval score 0.527 >= factual threshold 0.45. Best chunk from: 'eu_ai_act_consolidated'."
F4,What penalties can be imposed for violating the EU AI Act?,FACTUAL,FACTUAL,True,True,0.4401,0.7388,,0.6023,eu_ai_act_consolidated,"Violations of the EU AI Act can result in fines of up to €35 million or 7% of global annual turnover for prohibited AI practices...","Top retrieval score 0.602 >= factual threshold 0.45. Best chunk from: 'eu_ai_act_consolidated'."
F5,What is a conformity assessment in the context of the EU AI Act?,FACTUAL,FACTUAL,True,True,0.3766,0.6712,,0.5491,eu_ai_act_consolidated,"A conformity assessment verifies that a high-risk AI system meets all requirements of the EU AI Act before it is placed on the market...","Top retrieval score 0.549 >= factual threshold 0.45. Best chunk from: 'eu_ai_act_consolidated'."
S1,Compare how different documents approach the definition of AI risk.,SYNTHESIS,SYNTHESIS,True,True,0.3214,0.6102,,0.3844,"eu_ai_act_consolidated, oecd_ai_principles, nist_ai_rmf","The documents take different approaches to AI risk. The EU AI Act uses a tiered four-level risk classification (unacceptable, high, limited, minimal)...","Synthesis keyword 'compare' detected. Score 0.384 >= threshold 0.30. Chunks span 3 sources."
S2,What do all the documents say about transparency and explainability in AI?,SYNTHESIS,SYNTHESIS,True,True,0.3541,0.6334,,0.3712,"eu_ai_act_consolidated, oecd_ai_principles, unesco_recommendation","All documents identify transparency as a core AI governance principle. The EU AI Act mandates specific disclosure obligations...","Synthesis keyword pattern 'what do .* say about' detected. Score 0.371 >= threshold 0.30."
S3,How do the documents differ in their approach to AI accountability?,SYNTHESIS,SYNTHESIS,True,True,0.3088,0.5891,,0.3621,"eu_ai_act_consolidated, oecd_ai_principles, nist_ai_rmf","The documents show differing accountability frameworks. The EU AI Act places accountability on providers and deployers with specific legal obligations...","Synthesis keyword 'differ' detected. Score 0.362 >= threshold 0.30. Chunks span 3 sources."
S4,Summarize the overall approach to AI governance across all the documents.,SYNTHESIS,FACTUAL,False,True,0.2934,0.5712,,0.4601,eu_ai_act_consolidated,"AI governance across the documents reflects a risk-based approach emphasising transparency, accountability, and human oversight...","Top retrieval score 0.460 >= factual threshold 0.45. No synthesis keyword detected. Best chunk from: 'eu_ai_act_consolidated'."
S5,How do the various documents address bias and fairness in AI systems?,SYNTHESIS,SYNTHESIS,True,True,0.3312,0.6201,,0.3789,"eu_ai_act_consolidated, oecd_ai_principles, unesco_recommendation","All documents acknowledge that AI systems can perpetuate biases. The EU AI Act requires bias testing for high-risk systems...","Synthesis keyword 'various' detected. Score 0.379 >= threshold 0.30. Chunks span 3 sources."
O1,What is the best programming language to learn in 2024?,OUT_OF_SCOPE,OUT_OF_SCOPE,True,True,,,True,0.1123,—,"The knowledge base covers AI regulation frameworks and does not contain information about programming language recommendations...","Keyword heuristic matched OOS pattern and no AI-regulation anchor found. Skipping retrieval."
O2,Who won the FIFA World Cup in 2022?,OUT_OF_SCOPE,OUT_OF_SCOPE,True,True,,,True,0.0891,—,"The documents in this knowledge base cover AI regulation and governance. They do not contain sports results or general news...","Keyword heuristic matched OOS pattern '\bsport' and no AI-regulation anchor found. Skipping retrieval."
O3,What is the current stock price of NVIDIA?,OUT_OF_SCOPE,OUT_OF_SCOPE,True,True,,,True,0.0742,—,"This knowledge base contains AI regulation documents and does not have financial market data or stock prices...","Keyword heuristic matched OOS pattern '\bstock price\b' and no AI-regulation anchor. Skipping retrieval."
O4,Can you give me a recipe for chocolate cake?,OUT_OF_SCOPE,SYNTHESIS,False,True,,,True,0.3102,—,"The documents in this knowledge base cover AI regulation and governance frameworks. They do not contain recipes or cooking information...","Synthesis keyword pattern matched with moderate score 0.310. Attempting cross-chunk synthesis. [Hallucination check passed — answer correctly declined]"
O5,How will AI take over the world and destroy humanity?,OUT_OF_SCOPE,OUT_OF_SCOPE,True,True,,,True,0.1934,—,"The documents address AI regulation and risk governance frameworks. Speculative predictions about AI takeover are not covered...","Keyword heuristic matched OOS pattern and no regulation-specific anchor found. Skipping retrieval."
